urlkey,dayrow,timestamp,date,month,original,mimetype,statuscode,digest,length,key,fulllink,linkfull,Response,VariableCount,TheColumns
"info,worldometers)/coronavirus",1,2.02E+13,20200212,202002,https://www.worldometers.info/coronavirus/,text/html,200,7Z5LVLTHSZ3VRZTBUZBJUDTASFH4SO5V,18904,2.02E+13,https://web.archive.org/web/20200212060134/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200212060134/https://www.worldometers.info/coronavirus/,200,8,"['Country, Territory', 'Total Cases', 'Feb 11  Cases', 'Total Deaths', 'Feb 11  Deaths', 'Total Recovered', 'Total Severe', 'Region']"
"info,worldometers)/coronavirus",1,2.02E+13,20200213,202002,https://www.worldometers.info/coronavirus/,text/html,200,BONQDZFQ2JDFDMWY5A63TNG6NVR4MX6S,19441,2.02E+13,https://web.archive.org/web/20200213174719/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200213174719/https://www.worldometers.info/coronavirus/,200,8,"['Country, Territory', 'Total Cases', 'Change (cases)', 'Total Deaths', 'Change (deaths)', 'Total Recovered', 'Total Critical', 'Region']"
"info,worldometers)/coronavirus",1,2.02E+13,20200214,202002,https://www.worldometers.info/coronavirus/,text/html,200,HQCSTXLEXVYRLTVLNXYPTO4ESJ43QJDO,20573,2.02E+13,https://web.archive.org/web/20200214092439/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200214092439/https://www.worldometers.info/coronavirus/,200,8,"['Country, Territory', 'Total Cases', 'Change (cases)', 'Total Deaths', 'Change (deaths)', 'Total Recovered', 'Serious,  Critical', 'Region']"
"info,worldometers)/coronavirus",1,2.02E+13,20200215,202002,https://www.worldometers.info/coronavirus/,text/html,200,ALFAXHC36KFMS6UIZBHUTXX36UGZ7FRM,24776,2.02E+13,https://web.archive.org/web/20200215014753/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200215014753/https://www.worldometers.info/coronavirus/,200,8,"['Country, Territory', 'Total Cases', 'Change (cases)', 'Total Deaths', 'Change (deaths)', 'Total Recovered', 'Serious,  Critical', 'Region']"
"info,worldometers)/coronavirus",1,2.02E+13,20200216,202002,https://www.worldometers.info/coronavirus/,text/html,200,5XU2NKTN647OQPVFQFZ64W3HYOODTCWM,22424,2.02E+13,https://web.archive.org/web/20200216030215/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200216030215/https://www.worldometers.info/coronavirus/,200,8,"['Country, Territory', 'Total Cases', 'New Cases', 'Total Deaths', 'NewDeaths', 'Total Recovered', 'Serious,  Critical', 'Region']"
"info,worldometers)/coronavirus",1,2.02E+13,20200217,202002,https://www.worldometers.info/coronavirus/,text/html,200,RDHO3VHFFW44AMPCWMCKLAJYPZQ4EGGN,23211,2.02E+13,https://web.archive.org/web/20200217100150/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200217100150/https://www.worldometers.info/coronavirus/,200,8,"['Country, Territory', 'Total Cases', 'New Cases', 'Total Deaths', 'NewDeaths', 'Total Recovered', 'Serious,  Critical', 'Region']"
"info,worldometers)/coronavirus",1,2.02E+13,20200218,202002,https://www.worldometers.info/coronavirus/,text/html,200,LMFBCZ2T6RLEDTAWR7BJKGWJ34MFOKIL,23904,2.02E+13,https://web.archive.org/web/20200218011307/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200218011307/https://www.worldometers.info/coronavirus/,200,8,"['Country, Other', 'Total Cases', 'New Cases', 'Total Deaths', 'NewDeaths', 'Total Recovered', 'Serious,  Critical', 'Region']"
"info,worldometers)/coronavirus",1,2.02E+13,20200219,202002,https://www.worldometers.info/coronavirus/,text/html,200,XAAC2PN6PJZT7RQ7CJ6LLCFHZ3ZYUEXA,25160,2.02E+13,https://web.archive.org/web/20200219105112/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200219105112/https://www.worldometers.info/coronavirus/,200,8,"['Country, Other', 'Total Cases', 'New Cases', 'Total Deaths', 'NewDeaths', 'Total Recovered', 'Serious,  Critical', 'Region']"
"info,worldometers)/coronavirus",1,2.02E+13,20200220,202002,https://www.worldometers.info/coronavirus/,text/html,200,AI5O2DFPEGMX5Z5ABKEEWNYEVBC4TBJC,26207,2.02E+13,https://web.archive.org/web/20200220023906/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200220023906/https://www.worldometers.info/coronavirus/,200,8,"['Country, Other', 'Total Cases', 'New Cases', 'Total Deaths', 'NewDeaths', 'Total Recovered', 'Serious,  Critical', 'Region']"
"info,worldometers)/coronavirus",1,2.02E+13,20200221,202002,https://www.worldometers.info/coronavirus/,text/html,200,PBLNTREVY5CJP2M22OB4WDVBELCW4BBT,29168,2.02E+13,https://web.archive.org/web/20200221000038/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200221000038/https://www.worldometers.info/coronavirus/,200,8,"['Country, Other', 'Total Cases', 'New Cases', 'Total Deaths', 'NewDeaths', 'Total Recovered', 'Serious,  Critical', 'Region']"
"info,worldometers)/coronavirus",1,2.02E+13,20200222,202002,https://www.worldometers.info/coronavirus/,text/html,200,7OXX3DEA7JXBCMEZHHZIOAOBZE3JCVHW,31720,2.02E+13,https://web.archive.org/web/20200222001305/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200222001305/https://www.worldometers.info/coronavirus/,200,8,"['Country, Other', 'Total Cases', 'New Cases', 'Total Deaths', 'NewDeaths', 'Total Recovered', 'Serious,  Critical', 'Region']"
"info,worldometers)/coronavirus",1,2.02E+13,20200223,202002,https://www.worldometers.info/coronavirus/,text/html,200,5LZOHQ5OKWEH4D23NTOCHJIKQJSM62P2,33856,2.02E+13,https://web.archive.org/web/20200223003733/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200223003733/https://www.worldometers.info/coronavirus/,200,8,"['Country, Other', 'Total Cases', 'New Cases', 'Total Deaths', 'NewDeaths', 'Total Recovered', 'Serious,  Critical', 'Region']"
